city,date,Multi-source,DomesticAviation,GroundTransportation,day
海口市,20200219,149307.0131910626,880.1613363698393,13192.885467582631,50
海口市,20200220,143021.4500327869,846.760366783316,13606.937223669209,51
海口市,20200221,143389.1752396541,1044.6840054659406,14928.412864858496,52
海口市,20200222,139927.20677911668,1021.4527394620382,11664.920275793487,53
海口市,20200223,129094.17582321084,1291.5282561692306,10483.648252634444,54
海口市,20200224,140188.0551875117,1192.1206085902918,18660.03105720764,55
海口市,20200225,143386.83141481748,1224.003352286519,16833.589344732398,56
海口市,20200226,149425.87506946144,1403.6841814619293,17159.097299260116,57
海口市,20200227,151926.83726016092,1387.537969612744,17169.58188605483,58
海口市,20200228,156186.40475754646,1607.439735469185,18958.864889726483,59
海口市,20200229,149680.9929901571,1607.222846056285,13375.912174062169,60
玉林市,20200201,373203.01479609456,992.216742249226,15003.141247257146,32
玉林市,20200202,379469.000274902,983.9134247648828,15966.068659053017,33
玉林市,20200203,380432.156988746,710.9968021571829,17649.91275985568,34
玉林市,20200204,382185.8877535073,582.2894417239106,16101.561814118291,35
玉林市,20200205,393624.43446003407,606.64108813722,21023.551631006245,36
玉林市,20200206,403296.202774389,568.9494910301806,22208.11369489948,37
玉林市,20200207,392046.8860136892,636.3500967614576,19220.476524304253,38
玉林市,20200208,376494.0910637163,690.4345095028224,18981.211593995537,39
玉林市,20200209,354102.40647621657,907.5205281385446,16830.941428470393,40
玉林市,20200210,351311.7264248811,566.0154146086745,19733.835230886616,41
玉林市,20200211,340250.9628116313,415.7479379606917,18989.79429511048,42
玉林市,20200212,330591.6619390681,393.4394540757184,18640.621893264262,43
玉林市,20200213,322373.3793110241,333.45125193561466,19641.29695915719,44
玉林市,20200214,354478.34978211287,388.0583341609727,25350.66771373509,45
玉林市,20200215,382043.5947527268,416.1161823698686,22068.129954052867,46
